walker	cdf_0	cdf_1	log_l	log_p
29	-8.350859968e-01	-5.374778940e+00	-3.804175768e+00	-7.377758908e+00
30	5.736884705e+00	6.212978483e+00	-8.324278167e+00	-7.377758908e+00
31	1.086211638e+01	-1.701616467e+00	-8.324278167e+00	-7.377758908e+00
32	1.758357591e+01	-3.062074927e+00	-8.324278167e+00	-7.377758908e+00
33	-1.757135572e+01	-8.570038397e+00	-1.139400239e+01	-7.377758908e+00
34	1.655348556e+01	8.244819512e+00	-8.324278167e+00	-7.377758908e+00
35	-1.436091715e+01	-1.669830375e+01	-1.139400239e+01	-7.377758908e+00
36	-1.465673701e+01	8.073210725e+00	-1.139400239e+01	-7.377758908e+00
37	5.049658206e+00	1.947856288e+01	-8.324278167e+00	-7.377758908e+00
38	1.877402713e+01	1.321513636e+01	-8.324278167e+00	-7.377758908e+00
39	1.633341317e+00	-7.998805750e+00	3.492471583e+00	-7.377758908e+00
